link,title,text
https://tproger.ru/video/python-3-video-lessons/?autoload=1,"Python умер, да здравствует Python. Видеокурс по программированию на Python 3",Учимся программировать простые графические приложения на Python 3. Параллельно узнаём о Git и принципах качественного кода.
https://tproger.ru/articles/what-are-python-speed-limits/,Наперегонки со временем: на что способен Python в однопоточных вычислениях?,"Многие знают, что Python в чистом виде — не лучший язык для научных вычислений. Однако никто не мешает провести эксперимент по его ускорению."
https://tproger.ru/translations/data-structure-time-complexity-in-python/,"Сколько стоят операции над list, set и dict в Python? Разбираемся с временной сложностью","Временная сложность алгоритма часто обозначается нотацией «О» большое. Разбираемся, что это и какова сложность операций над коллекциями в Python."
https://tproger.ru/translations/13-python-projects-for-intermediate-developers/,13 проектов для Python-разработчиков среднего уровня,"Часто Python-проекты подходят или новичкам, или опытным разработчикам. Исправляем эту несправедливость и рассказываем о Python-проектах для среднего уровня."
https://tproger.ru/problems/python-3-exercises-for-beginners-geekbrains/,Задачи по Python для начинающих от Tproger и GeekBrains,Для обучения программированию на питоне нужны тренировки. Совместно с GeekBrains собрали для вас несколько простых задач на Python 3 c решениями.
https://tproger.ru/translations/how-to-optimize-jupyter-notebook/,Как оптимизировать работу в Jupyter Notebook,"Оптимизируем работу в Jupyter Notebook с помощью основных команд и расширений и добавляем немного магии, чтобы всё стало ещё быстрее и проще."
https://tproger.ru/translations/guide-into-python-imports/,Как работают импорты в Python,"Импорты не так просты, как кажется. Тем более если они пишутся для двух несовместимых версий языка. Разбираемся с основными проблемами и их решением."
https://tproger.ru/translations/unicode-and-encoding-python-guide/,Исчерпывающее руководство по Юникоду и кодировке символов в Python,"Как работает кодировка символов, что такое Юникод и UTF-8. Рассмотрим способы кодирования и декодирования в Python и распространённые ошибки."
https://tproger.ru/translations/python-random-forest-implementation/,Реализация и разбор алгоритма «случайный лес» на Python,Принципы работы алгоритма «случайный лес» — от загрязнения Джини и единичного дерева принятия решений до решения задачи на основе реального набора данных.
https://tproger.ru/translations/global-interpreter-lock-guide/,Зачем нужен Python Global Interpreter Lock и как он работает,"Python Global Interpreter Lock (GIL) — блокировка, позволяющая только одному потоку управлять интерпретатором Python. Рассмотрим, как она работает."
https://tproger.ru/translations/scikit-learn-in-python/,Обзор методов классификации в машинном обучении с помощью Scikit-Learn,Для машинного обучения на Python написано очень много библиотек. Сегодня мы рассмотрим одну из самых популярных — Scikit-Learn. Scikit-Learn упрощает процесс создания классификатора и помогает более чётко выделить концепции машинного…
https://tproger.ru/translations/python-built-ins-worth-learning/,Встроенные функции Python: какие нужно знать и на какие не стоит тратить время,"В статье расскажем про стандартные встроенные функции Python: какие используются часто, а какие вам, вероятно, не пригодятся никогда."
https://tproger.ru/translations/diffie-hellman-key-exchange-explained/,Как работает обмен ключами в протоколе Диффи-Хеллмана,Протокол Диффи-Хеллмана (DH) — метод безопасного обмена криптографическими ключами по общедоступному каналу. Рассмотрим принципы работы этого протокола.
https://tproger.ru/translations/django-faq/,Неофициальный и консервативный FAQ по Django,"Django — свободный фреймворк для веб-приложений. В этом FAQ вы найдёте ответы на часто возникающие вопросы, которых нет в официальной документации."
https://tproger.ru/translations/sorting-algorithms-in-python/,Объяснение алгоритмов сортировки с примерами на Python,"В этой статье рассмотрены популярные алгоритмы, принципы их работы и реализация на Python. Также сравним, как быстро они сортируют элементы в списке."
https://tproger.ru/translations/opencv-python-guide/,Шпаргалка по OpenCV — Python,"Что такое OpenCV? Библиотека компьютерного зрения и машинного обучения с открытым исходным кодом. В неё входят более 2500 алгоритмов, в которых есть как классические, так и современные алгоритмы для компьютерного…"
https://tproger.ru/translations/python-logging/,Основные концепции журналирования в Python,"Понимание принципов работы модуля журналирования, поставляемого в стандартной библиотеке Python, поможет разработчику упростить процесс создания приложения."
https://tproger.ru/translations/demystifying-decorators-in-python/,Декораторы в Python: понять и полюбить,"Декораторы в Python — полезная вещь, но многие новички её не понимают и обходят стороной. Объясняем, что они из себя представляют и как работают."
https://tproger.ru/quiz/python-fast-and-furious/,Что может Python сделать за секунду?,"Все говорят, что Python медленный, но так ли это? Пройдите наш тест и узнаете, сколько всего этот язык способен сделать за секунду!"
